"","taxa_id","Kingdom","Phylum","Class","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","litter_size","litters_year","interbirth_interval","metabolic_rate","female_maturity","male_maturity","Gestation","Weaning","Infancy","birth_weight","weaning_weight","adult_weight","growth_rate","max_longevity","Male","MaleNeoplasia","MaleMalignant","Female","FemaleNeoplasia","FemaleMalignant"
"1213",2004,"Animalia","Chordata","Mammalia","Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardalis","Baringo Giraffe",30,3,0.1,"-",8,2,0.066666667,0.875,1,0.033333333,0.125,"-",35,8,30,16,"-",1.29,0.5,20.38,-1,42.0118343195266,54.043392504931,15.0230111768573,4.99671268902038,4.99671268902038,58500,-1,8e+05,-1,474,12,1,1,13,2,1
"1330",2264,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Hippotragus","Hippotragus niger",NA,18,5,0.277777778,"-",10,5,0.277777778,1,0,0,0,"-",23,10,18,8,"-",-1,1.1,12,-1,25.2465483234714,38.9217619986851,8.9086127547666,7.00197238658777,7.00197238658777,16375,-1,225000,-1,266.4,3,0,0,15,5,5
"1424",2431,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Kobus","Kobus ellipsiprymnus","Waterbuck",15,6,0.4,"-",5,2,0.133333333,0.4,3,0.2,0.6,"-",15,6,15,6,"-",1.05,1.1,12,26700,25.34516765286,46.8915187376726,8.67850098619329,7.00197238658777,7.00197238658777,9000,-1,175333,-1,360,0,0,0,13,6,2
"1426",2433,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Kobus","Kobus megaceros",NA,15,3,0.2,"-",2,1,0.066666667,0.5,1,0.066666667,0.5,"-",15,3,15,4,"-",-1,-1,11.6,-1,23.9973701512163,23.9973701512163,7.72518080210388,-1,73,5100,-1,90000,-1,253.2,7,2,0,5,0,0
"1442",2462,"Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Lama","Lama glama","Llama",34,10,0.294117647,"-",11,5,0.147058824,0.545454545,4,0.117647059,0.454545455,"-",36,12,34,16,"-",-1,0.685,1.499657769,-1,26.2984878369494,26.2984878369494,10.8481262327416,4.99671268902038,4.99671268902038,11000,29000,140000,-1,346.8,8,3,1,16,6,4
"1538",2601,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Litocranius","Litocranius walleri","Southern Gerenuk",53,5,0.094339623,"-",3,2,0.037735849,0.666666667,1,0.018867925,0.333333333,"-",53,5,53,11,"-",-1,1.35,7.92,-1,11.801446416831,27.6732412886259,6.70611439842209,7.922419460881,7.922419460881,-1,-1,43500,-1,207.6,19,0,0,31,5,2
"1609",2710,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Madoqua","Madoqua guentheri",NA,11,1,0.090909091,"-",1,1,0.090909091,1,0,0,0,"-",11,1,11,2,"-",0.98,-1,-1,-1,4.55621301775148,4.55621301775148,5.85141354372124,2.76134122287968,2.76134122287968,681.67,2825.5,4550,-1,210,5,0,0,6,1,1
"1638",2768,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Mazama","Mazama americana",NA,14,0,0,"-",0,0,0,NA,0,0,NA,"-",14,0,14,4,"-",1.3,-1,-1,-1,12.9848783694938,11.9986850756082,7.39644970414201,5.98290598290598,5.98290598290598,538.5,-1,33000,-1,205.2,7,0,0,5,0,0
"1713",2878,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus","Muntiacus muntjak",NA,10,1,0.1,"-",1,1,0.1,1,0,0,0,"-",10,1,10,6,"-",1.17,1.35,7.92,-1,8.94148586456279,10.913872452334,6.90335305719921,2.00525969756739,2.00525969756739,1223,-1,21000,-1,225.6,3,0,0,4,1,1
"1714",2879,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus","Muntiacus reevesi",NA,17,1,0.058823529,"-",0,0,0,NA,0,0,NA,"-",17,1,17,10,"-",0.98,1.5,7.07,-1,9.00723208415516,9.70151216305062,6.54174884944116,-1,28.456,1050,-1,18000,-1,278.4,6,0,0,10,1,0
