taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,---,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources
14456,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,Ramphastos tucanus,Red-billed toucan,15,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,1,0,0,-,15,0,15,1
2733,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella madagascariensis,Painted Mantella,12,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,4,0,0,-,12,0,12,8
1649,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,Dendrobates tinctorius,Dyeing Poison Dart Frog,267,2,0.007490637,-,2,1,0.003745318,0.5,1,0.003745318,0.5,-,27,0,0,34,2,1,-,267,2,267,33
1647,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,Delphinus delphis,Common Dolphin,31,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,0,0,0,-,31,0,31,1
2618,Animalia,Chordata,Aves,Passeriformes,Estrilididae,Lonchura,Lonchura oryzivora,Java sparrow,35,4,0.114285714,-,4,1,0.028571429,0.25,3,0.085714286,0.75,-,8,0,0,5,1,0,-,35,4,35,5
3151,Animalia,Chordata,Actinopteri,Characiformes,Characidae,Paracheirodon,Paracheirodon axelrodi,Cardinal Tetra,74,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,1,0,0,-,74,0,74,7
1656,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata,White Faced Tree Duck,84,2,0.023809524,-,2,1,0.011904762,0.5,1,0.011904762,0.5,-,13,2,1,0,0,0,-,84,2,84,3
4156,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Theloderma,Theloderma corticale,Tonkin bug-eyed frog,32,1,0.03125,-,1,1,0.03125,1,0,0,0,-,11,0,0,1,1,1,-,32,1,32,11
3706,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus imperator,Emperor Tamarins,35,1,0.028571429,-,1,1,0.028571429,1,0,0,0,-,16,0,0,8,1,1,-,35,1,35,9
2236,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus mexicanus,Black-winged stilt,18,2,0.111111111,-,2,1,0.055555556,0.5,1,0.055555556,0.5,-,6,0,0,6,1,1,-,18,2,18,6
1086,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum,NA,14,1,0.071428571,-,1,1,0.071428571,1,0,0,0,-,4,0,0,7,0,0,-,14,1,14,8
1915,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,Chaffinch,45,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,0,0,0,-,45,0,45,1
301,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Aylesbury Duck,33,7,0.212121212,-,6,4,0.121212121,0.666666667,2,0.060606061,0.333333333,-,11,3,2,10,2,2,-,33,7,33,16
711,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa mexicana,NA,18,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,7,0,0,-,18,0,18,5
3279,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus roseus,American Flamingo,18,2,0.111111111,-,2,2,0.111111111,1,0,0,0,-,8,1,1,3,1,1,-,18,2,18,4
4207,Animalia,Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,Trachemys scripta,NA,16,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,7,0,0,-,16,0,16,7
1527,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus lepidus,NA,49,2,0.040816327,-,2,2,0.040816327,1,0,0,0,-,20,1,1,16,0,0,-,49,2,49,14
4421,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,Brown Bear,10,2,0.2,-,3,1,0.1,0.333333333,1,0.1,0.666666667,-,8,2,1,2,0,0,-,11,3,10,7
1702,Animalia,Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon couperi,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,0,0,0,-,10,0,10,5
