"Iteration Name","Var1","Var2","Data Points","R2 value","Lambda","Pvalue1","Pvalue2","AdjPval1","AdjPval2","ComboP"
"Neo vs Gest+Weight","Gestation","AdultWeight",17,0.022,4.3e-05,0.865,0.8,0.865,0.865,0.946773171768211
"Mal vs Gest+Weight","Gestation","AdultWeight",17,0.0096,6.6e-05,0.867,0.73,0.867,0.867,0.922420152342906
"Neo vs Gest+Long","Gestation","Longevity",17,0.022,4.3e-05,0.279,0.23,0.279,0.279,0.240394903211489
"Mal vs Gest+Long","Gestation","Longevity",17,0.0096,6.6e-05,0.395,0.18,0.395,0.36,0.259064790688496
